"House","n.","A structure intended or used as a habitation or shelter for animals of any kind; but especially, a building or edifice for the habitation of man; a dwelling place, a mansion."
"House","n.","Household affairs; domestic concerns; particularly in the phrase to keep house. See below."
"House","n.","Those who dwell in the same house; a household."
"House","n.","A family of ancestors, descendants, and kindred; a race of persons from the same stock; a tribe; especially, a noble family or an illustrious race; as, the house of Austria; the house of Hanover; the house of Israel."
"House","n.","One of the estates of a kingdom or other government assembled in parliament or legislature; a body of men united in a legislative capacity; as, the House of Lords; the House of Commons; the House of Representatives; also, a quorum of such a body. See Congress, and Parliament."
"House","n.","A firm, or commercial establishment."
"House","n.","A public house; an inn; a hotel."
"House","n.","A twelfth part of the heavens, as divided by six circles intersecting at the north and south points of the horizon, used by astrologers in noting the positions of the heavenly bodies, and casting horoscopes or nativities. The houses were regarded as fixed in respect to the horizon, and numbered from the one at the eastern horizon, called the ascendant, first house, or house of life, downward, or in the direction of the earth's revolution, the stars and planets passing through them in the reverse order every twenty-four hours."
"House","n.","A square on a chessboard, regarded as the proper place of a piece."
"House","n.","An audience; an assembly of hearers, as at a lecture, a theater, etc.; as, a thin or a full house."
"House","n.","The body, as the habitation of the soul."
"House","n.","The grave."
"Housed","imp. & p. p.","of House"
"Housing","p. pr. & vb. n.","of House"
"House","v. t.","To take or put into a house; to shelter under a roof; to cover from the inclemencies of the weather; to protect by covering; as, to house one's family in a comfortable home; to house farming utensils; to house cattle."
"House","v. t.","To drive to a shelter."
"House","v. t.","To admit to residence; to harbor."
"House","v. t.","To deposit and cover, as in the grave."
"House","v. t.","To stow in a safe place; to take down and make safe; as, to house the upper spars."
"House","v. i.","To take shelter or lodging; to abide to dwell; to lodge."
"House","v. i.","To have a position in one of the houses. See House, n., 8."
